"name","activated","color"
"1",TRUE,"green"
"18",TRUE,"green"
"20",TRUE,"green"
"24",TRUE,"green"
"26",TRUE,"green"
"28",TRUE,"green"
"29",TRUE,"green"
"11",TRUE,"green"
"31",TRUE,"green"
"33",TRUE,"green"
"34",TRUE,"green"
"35",TRUE,"green"
"36",TRUE,"green"
"25",TRUE,"green"
"23",TRUE,"green"
"39",TRUE,"green"
"13",TRUE,"green"
"42",TRUE,"green"
"46",TRUE,"green"
"16",TRUE,"green"
"47",TRUE,"green"
"49",TRUE,"green"
"3",TRUE,"green"
"50",TRUE,"green"
"54",TRUE,"green"
"55",TRUE,"green"
"8",TRUE,"green"
"27",TRUE,"green"
"19",TRUE,"green"
"59",TRUE,"green"
"60",TRUE,"green"
"61",TRUE,"green"
"62",TRUE,"green"
"65",TRUE,"green"
"58",TRUE,"green"
"70",TRUE,"green"
"10",TRUE,"green"
"5",TRUE,"green"
"32",TRUE,"green"
"4",TRUE,"green"
"51",TRUE,"green"
"66",TRUE,"green"
"15",TRUE,"green"
"7",TRUE,"green"
"75",TRUE,"green"
"30",TRUE,"green"
"76",TRUE,"green"
"6",TRUE,"green"
"74",TRUE,"green"
"67",TRUE,"green"
"77",TRUE,"green"
"78",TRUE,"green"
"79",TRUE,"green"
"68",TRUE,"green"
"52",TRUE,"green"
"80",TRUE,"green"
"38",TRUE,"green"
"82",TRUE,"green"
"17",TRUE,"green"
"73",TRUE,"green"
"14",TRUE,"green"
"56",TRUE,"green"
"84",TRUE,"green"
"53",TRUE,"green"
"69",TRUE,"green"
"86",TRUE,"green"
"12",TRUE,"green"
"64",TRUE,"green"
"21",TRUE,"green"
"89",TRUE,"green"
"48",TRUE,"green"
"45",TRUE,"green"
"72",TRUE,"green"
"2",TRUE,"green"
"63",TRUE,"green"
"9",TRUE,"green"
"22",TRUE,"green"
"85",TRUE,"green"
"88",TRUE,"green"
"83",TRUE,"green"
"98",TRUE,"green"
"37",TRUE,"green"
"90",TRUE,"green"
"99",TRUE,"green"
"96",TRUE,"green"
"100",TRUE,"green"
"92",TRUE,"green"
"101",TRUE,"green"
"43",TRUE,"green"
"93",TRUE,"green"
"87",TRUE,"green"
"91",TRUE,"green"
"103",TRUE,"green"
"105",TRUE,"green"
"94",TRUE,"green"
"81",TRUE,"green"
"112",TRUE,"green"
"104",TRUE,"green"
"113",TRUE,"green"
"115",TRUE,"green"
"109",TRUE,"green"
"41",TRUE,"green"
"40",TRUE,"green"
"120",TRUE,"green"
"121",TRUE,"green"
"95",TRUE,"green"
"108",TRUE,"green"
"111",TRUE,"green"
"110",TRUE,"green"
"106",TRUE,"green"
"122",TRUE,"green"
"123",TRUE,"green"
"137",FALSE,"red"
"138",FALSE,"red"
"139",FALSE,"red"
"140",FALSE,"red"
"141",FALSE,"red"
"142",FALSE,"red"
"143",FALSE,"red"
"144",FALSE,"red"
"129",TRUE,"green"
"145",FALSE,"red"
"146",FALSE,"red"
"147",FALSE,"red"
"148",FALSE,"red"
"57",TRUE,"green"
"44",TRUE,"green"
"71",TRUE,"green"
"118",TRUE,"green"
"117",TRUE,"green"
"97",TRUE,"green"
"119",TRUE,"green"
"124",TRUE,"green"
"107",TRUE,"green"
"149",TRUE,"green"
"150",FALSE,"red"
"151",TRUE,"green"
"128",TRUE,"green"
"152",FALSE,"red"
"134",TRUE,"green"
"153",FALSE,"red"
"154",FALSE,"red"
"155",FALSE,"red"
"156",FALSE,"red"
"157",FALSE,"red"
"158",FALSE,"red"
"159",FALSE,"red"
"160",FALSE,"red"
"161",FALSE,"red"
"162",FALSE,"red"
"163",FALSE,"red"
"164",FALSE,"red"
"165",FALSE,"red"
"167",FALSE,"red"
"102",TRUE,"green"
"114",TRUE,"green"
"116",TRUE,"green"
"125",TRUE,"green"
"126",TRUE,"green"
"127",TRUE,"green"
"130",TRUE,"green"
"131",TRUE,"green"
"132",TRUE,"green"
"133",TRUE,"green"
"135",TRUE,"green"
"136",TRUE,"green"
"166",FALSE,"red"
